term,estimate,std.error,statistic,p.value,conf.low,conf.high,modele,pval_pretrend
pct_foret,-2.984657966360164e-4,7.375978557653896e-4,-0.40464569453812305,0.6857407407659171,-0.0017441871462874179,0.001147255553015385,Forêt,0.015055795669085235
pct_lisiere,-5.410218867769273e-5,0.002011473006349012,-0.02689680075592594,0.9785422173428855,-0.003996669872132596,0.0038884654947772103,Lisière,0.15748580978202217
pct_foret,-3.4341984209570515e-4,7.481014653203484e-4,-0.45905516566345395,0.6461980319724558,-0.0018097336787202111,0.0011228939945288007,Lisière × LCA,0.20401860740514569
pct_lisiere:type_lcaannuel,-0.003538305531255336,0.004512853143006426,-0.7840506701926812,0.43301685699941805,-0.012383708612254653,0.005307097549743981,Lisière × LCA,0.20401860740514569
pct_lisiere:type_lcamixte,-8.311741335259405e-4,0.0021363655627916686,-0.3890598818864194,0.6972347392966405,-0.005018550485566775,0.003356202218514894,Lisière × LCA,0.20401860740514569
pct_lisiere:type_lcaperenne,0.005774088153429913,0.006755988487696988,0.8546622250681499,0.39274531060205764,-0.00746796504231392,0.019016141349173746,Lisière × LCA,0.20401860740514569
pct_lisiere,-3.0097733572970946e-4,0.002088919694615032,-0.14408276991479882,0.8854361231274352,-0.00439535756863011,0.0037934028971706906,Forêt × LCA,0.03648169107967089
pct_foret:type_lcaannuel,-0.0015639365827008142,5.626454054017548e-4,-2.7796131767646646,0.005445913602571799,-0.002666747874081608,-4.6112529132002035e-4,Forêt × LCA,0.03648169107967089
pct_foret:type_lcamixte,0.0014041980124895172,0.0016018418326839774,0.8766146468635441,0.38070332628230985,-0.0017354868460913704,0.004543882871070405,Forêt × LCA,0.03648169107967089
pct_foret:type_lcaperenne,-0.001120983372652954,0.0017211790508055082,-0.6512880644976106,0.5148657720362939,-0.004494574756307878,0.00225260801100197,Forêt × LCA,0.03648169107967089
